episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
60,1.0,3.113339848011619,0.9581674938202303,-0.24847593309363705,20.41951225799585,0.5,[20.41951225799585, 0.5],0.0,False,True,0.7172002153926902,1,19.549800178858835,169.184,prepare,0.0
60,2.0,3.113204099641729,0.9581987097659254,-0.2307485434783925,13.651714993515515,4.0,[13.651714993515515, 4.0],1.0,False,True,0.7165052387407954,1,19.549800178858835,169.238,in_progress,0.0
60,3.0,3.122806675857182,0.9577205509895923,-0.5442926995249283,-24.3,0.5,[-24.3, 0.5],1.0,False,True,0.7656327567474639,1,19.549800178858835,169.317,in_progress,0.0
60,4.0,3.1380180575130705,0.9583940835089866,0.21150602113948075,5.489654368018936,4.0,[5.489654368018936, 4.0],1.0,False,True,0.8434274118676215,1,19.549800178858835,169.385,in_progress,0.0
60,5.0,3.1630878198533283,0.9575074911980255,0.6398409095604118,-24.3,3.026098583570905,[-24.3, 3.026098583570905],1.0,False,True,0.9716791790427831,1,19.549800178858835,169.447,in_progress,0.0
60,6.0,3.204539441693005,0.9502087397059209,-1.0793912463157094,7.954969631562076,2.036566248991261,[7.954969631562076, 2.036566248991261],1.0,False,True,1.1837959990793339,1,19.549800178858835,169.51,in_progress,0.0
60,7.0,3.2619912090609984,0.9460892123455492,-1.7758118229493307,-7.280466050820234,2.1002919547885135,[-7.280466050820234, 2.1002919547885135],1.0,False,True,1.4777198759692336,1,19.549800178858835,169.585,in_progress,0.0
60,8.0,3.3223691870540577,0.9464018080160566,-1.279914564445648,-24.3,0.6217096421262716,[-24.3, 0.6217096421262716],1.0,False,True,1.7865570431590303,2,19.549800178858835,169.647,in_progress,0.0
60,9.0,3.3960731671738924,0.9413106982227483,-1.837373106492611,-2.056403826436874,2.448003575087208,[-2.056403826436874, 2.448003575087208],1.0,False,True,2.1635675685697757,2,19.549800178858835,169.725,in_progress,0.0
60,10.0,3.47095784932269,0.9338865298673422,-2.9078129576771232,0.9984209954216716,0.5,[0.9984209954216716, 0.5],1.0,False,True,2.546677859642224,3,19.549800178858835,169.783,in_progress,0.0
60,11.0,3.5481162289840826,0.9306810385049822,-2.600015566722988,24.900000000000002,4.0,[24.900000000000002, 4.0],1.0,False,True,2.941381434564905,3,19.549800178858835,169.853,in_progress,0.0
60,12.0,3.6136580011221846,0.9284189202792146,-2.2500390090159454,-24.3,1.5965016351708479,[-24.3, 1.5965016351708479],1.0,False,True,3.276599716626953,3,19.549800178858835,169.902,in_progress,0.0
60,13.0,3.7045324736552514,0.9359055335859993,0.08817059716932912,-5.43117359363767,4.0,[-5.43117359363767, 4.0],1.0,False,True,3.741384245153091,4,19.549800178858835,169.981,in_progress,0.0
60,14.0,3.798432646785157,0.9313644481642352,-0.8172022380747006,-20.93850074580929,4.0,[-20.93850074580929, 4.0],1.0,False,True,4.221693578895955,4,19.549800178858835,170.052,in_progress,0.0
60,15.0,3.9143019337376734,0.916104648566859,-3.8494935067490195,-20.123145497091592,3.978067735009204,[-20.123145497091592, 3.978067735009204],1.0,False,True,4.814464534018568,5,19.549800178858835,170.116,in_progress,0.0
60,16.0,4.045705642440105,0.8782258886328425,-9.963799399497514,-24.3,3.318966463507685,[-24.3, 3.318966463507685],0.5,False,True,5.486736715952478,5,19.549800178858835,170.182,in_progress,0.0
60,17.0,4.1574940026719025,0.8296900390853755,-16.52219713484679,22.207190917233024,2.266051466809861,[22.207190917233024, 2.266051466809861],0.001,False,True,6.05864083012517,6,19.549800178858835,170.252,in_progress,0.0
60,18.0,4.283674964668991,0.7728836868808298,-23.60684385188945,-18.601613730709627,0.5,[-18.601613730709627, 0.5],0.1,False,True,6.704269530794099,7,19.549800178858835,170.315,in_progress,0.0
60,19.0,4.404941008628032,0.7278730659127157,-25.46794451083238,15.168266136457706,2.517450350587579,[15.168266136457706, 2.517450350587579],0.1,False,True,7.32451717401959,7,19.549800178858835,170.399,in_progress,0.0
60,20.0,4.542073977199192,0.6786575737559084,-23.1088901896579,-5.330835471786845,1.6442550981990949,[-5.330835471786845, 1.6442550981990949],0.001,False,False,8.025874844807571,8,19.549800178858835,170.45,in_progress,0.0
60,21.0,4.648568107162472,0.6468776351949859,-19.87836733666669,23.659572976979664,1.646295630621716,[23.659572976979664, 1.646295630621716],0.001,False,False,8.570663326168333,9,19.549800178858835,170.514,in_progress,0.0
60,22.0,4.7628178439684605,0.6113950867593653,-18.532166852013866,24.900000000000002,0.5,[24.900000000000002, 0.5],0.001,False,False,9.154851116436713,9,19.549800178858835,170.587,in_progress,0.0
60,23.0,4.876080110073413,0.5895748610507145,-15.20974286481869,-17.51799694490597,1.5953234521866013,[-17.51799694490597, 1.5953234521866013],0.001,False,False,9.734224459003713,10,19.549800178858835,170.65,in_progress,0.0
60,24.0,4.979287528143745,0.572082643659588,-13.1083637391138,18.980481825190832,0.5,[18.980481825190832, 0.5],0.001,False,False,10.26192237595051,10,19.549800178858835,170.716,in_progress,0.0
60,25.0,5.081339346363288,0.5498884113996171,-12.655994942678205,24.900000000000002,2.753360027252089,[24.900000000000002, 2.753360027252089],0.001,False,False,10.783939224895384,11,19.549800178858835,170.797,in_progress,0.0
60,26.0,5.195948857865765,0.5358064474319072,-10.214741035936521,18.804905480749877,3.5195489462127028,[18.804905480749877, 3.5195489462127028],0.001,False,False,11.369807276741216,11,19.549800178858835,170.856,in_progress,0.0
