episode;steps;X;Y;yaw;steer;throttle;action;reward;done;all_wheels_on_track;progress;closest_waypoint;track_len;tstamp;episode_status;pause_duration;
0;1.0;3.113278612361635;0.9581766782644425;-0.22139926346322822;24.900000000000002;1.224961727055549;[24.900000000000002; 1.224961727055549];0.0;False;True;0.7168868092987218;1;19.549800178858835;22.781;prepare;0.0
0;2.0;3.1131287077431318;0.9581858991017332;-0.21872554113790257;-24.3;4.0;[-24.3; 4.0];1.0;False;True;0.7161198514519662;1;19.549800178858835;22.848;in_progress;0.0
0;3.0;3.1200919114589842;0.9588646772097492;0.14390888707082108;-14.340169934092659;2.1535884174629967;[-14.340169934092659; 2.1535884174629967];1.0;False;True;0.7517241118441741;1;19.549800178858835;22.894;in_progress;0.0
0;4.0;3.1472791825022113;0.9568630260846991;-0.3102847692114343;10.058199918216356;1.760993839219979;[10.058199918216356; 1.760993839219979];1.0;False;True;0.8908289310173682;1;19.549800178858835;22.985;in_progress;0.0
0;5.0;3.1747766400673347;0.9567360510723021;-0.3650504968055388;-0.22374486651224146;0.5;[-0.22374486651224146; 0.5];1.0;False;True;1.0314750084658575;1;19.549800178858835;23.052;in_progress;0.0
0;6.0;3.2102821059587914;0.9589236876037134;0.2990884470459813;24.900000000000002;1.5678793151756898;[24.900000000000002; 1.5678793151756898];1.0;False;True;1.2130629996324436;1;19.549800178858835;23.11;in_progress;0.0
0;7.0;3.251945388906991;0.9653162993516835;1.8273621584158866;20.25329130803144;3.566355108071995;[20.25329130803144; 3.566355108071995];1.0;False;True;1.4260971589549931;1;19.549800178858835;23.186;in_progress;0.0
0;8.0;3.305274118794272;0.9856306789238087;6.1478515810667815;24.900000000000002;2.580238106435477;[24.900000000000002; 2.580238106435477];0.5;False;True;1.698629903443228;2;19.549800178858835;23.25;in_progress;0.0
0;9.0;3.368567297556665;1.027446918860924;14.02001958144615;10.51379123196224;2.512800663724063;[10.51379123196224; 2.512800663724063];0.001;False;True;2.0221162139150177;2;19.549800178858835;23.315;in_progress;0.0
0;10.0;3.4384253103738516;1.0766489641838912;20.913626559360853;24.900000000000002;2.5154213269096966;[24.900000000000002; 2.5154213269096966];0.001;False;True;2.379017986350709;2;19.549800178858835;23.385;in_progress;0.0
0;11.0;3.5183727945075987;1.1485349081516618;29.368709152033176;-7.962501098100489;1.0198500214944548;[-7.962501098100489; 1.0198500214944548];0.1;False;True;2.787329894490313;3;19.549800178858835;23.449;in_progress;0.0
0;12.0;3.595900814228489;1.2177311766717749;35.49679305445669;8.727603731327935;1.7719771778388846;[8.727603731327935; 1.7719771778388846];0.1;False;True;3.1838032980961573;3;19.549800178858835;23.518;in_progress;0.0
0;13.0;3.6633038930535027;1.2779089285664076;37.848296438982715;-11.205940730744008;0.5;[-11.205940730744008; 0.5];0.001;False;False;3.528170372365269;4;19.549800178858835;23.584;in_progress;0.0
0;14.0;3.729619661852671;1.3437342175754117;40.717547355457576;-1.291246783701947;4.0;[-1.291246783701947; 4.0];0.001;False;False;3.8669373297528105;4;19.549800178858835;23.652;in_progress;0.0
0;15.0;3.808997693751115;1.4157035044315305;41.64727192921851;-24.3;1.592538010108633;[-24.3; 1.592538010108633];0.001;False;False;4.273086236023165;4;19.549800178858835;23.72;in_progress;0.0
0;16.0;3.883980936147926;1.4702669666836437;39.95919095210389;-24.3;3.6656752950008764;[-24.3; 3.6656752950008764];0.001;True;False;4.656337506668747;5;19.549800178858835;23.781;off_track;0.0
1;1.0;4.090849282805786;0.9565727672705198;-0.05075898265627819;-18.114579129245406;3.813331191167515;[-18.114579129245406; 3.813331191167515];0.0;False;True;0.7173074170650419;6;19.549800178858835;23.932;prepare;0.0
1;2.0;4.090617092690827;0.9565491984298082;-0.06126347870304906;-8.200252795369977;1.1052282800449955;[-8.200252795369977; 1.1052282800449955];1.0;False;True;0.7161198360302989;6;19.549800178858835;23.985;in_progress;0.0
1;3.0;4.100844025343554;0.9582021034115371;0.36079549042004816;24.900000000000002;2.885736530066831;[24.900000000000002; 2.885736530066831];1.0;False;True;0.7684247416452822;6;19.549800178858835;24.047;in_progress;0.0
1;4.0;4.119911014464572;0.9606514513893533;0.8039406809565107;-18.69916069238526;2.7953471487989447;[-18.69916069238526; 2.7953471487989447];1.0;False;True;0.8659442622572816;6;19.549800178858835;24.122;in_progress;0.0
1;5.0;4.146908416232362;0.9656327580887613;1.888179318892982;-24.3;4.0;[-24.3; 4.0];1.0;False;True;1.0040266150465624;6;19.549800178858835;24.19;in_progress;0.0
1;6.0;4.187017269654452;0.9599338476103937;0.21850241839877957;24.900000000000002;4.0;[24.900000000000002; 4.0];1.0;False;True;1.2092086374556916;6;19.549800178858835;24.251;in_progress;0.0
1;7.0;4.254639463711141;0.961062053813518;0.325467493133395;-18.374919850104337;0.5;[-18.374919850104337; 0.5];1.0;False;True;1.5551017910199694;7;19.549800178858835;24.316;in_progress;0.0
1;8.0;4.3089831444047135;0.9748177563516838;4.037446651012197;-20.684561940029717;0.5;[-20.684561940029717; 0.5];1.0;False;True;1.8330300604173386;7;19.549800178858835;24.38;in_progress;0.0
1;9.0;4.362741308417574;0.9742603530753674;4.460876032900707;18.709837874717426;3.7139368972135713;[18.709837874717426; 3.7139368972135713];1.0;False;True;2.108028191745939;7;19.549800178858835;24.452;in_progress;0.0
1;10.0;4.406100119971889;0.966592950214941;2.133338457736003;12.828052858029725;4.0;[12.828052858029725; 4.0];1.0;False;True;2.3298342867918875;7;19.549800178858835;24.52;in_progress;0.0
